Source,Target,Kind,Weight
111/2009/pojem/adresa-doručování-písemností,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/adresa-místa-pobytu,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/adresa-místa-provozovny-(stavební-objekt),111/2009/pojem/adresa,specializuje,2
111/2009/pojem/adresa-sídla-osoby,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/místo-narození,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/místo-úmrtí,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/okres-narození,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/okres-úmrtí,111/2009/pojem/adresa,specializuje,2
111/2009/pojem/kód-katastrálního-území,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-kraje,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-městské-části-v-hlavním-městě-Praze,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-městského-obvodu-a-městské-části-územně-členěného-statutárního-města,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-městského-obvodu-v-hlavním-městě-Praze,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-obce,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-okresu,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-regionu-soudržnosti,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-správního-obvodu-ORP,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-správního-obvodu-obce-s-pověřeným-obecním-úřadem,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-správního-obvodu-v-hlavním-městě-Praze,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-státu,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-vojenského-újezdu,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-vyššího-samosprávného-celku,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/kód-základní-sídelní-jednotky,111/2009/pojem/kód-prvku,specializuje,2
111/2009/pojem/lokalizační-údaje-katastrálního-území,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-kraje,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-městské-části-v-hlavním-městě-Praze,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-městského-obvodu-v-hlavním-městě-Praze,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-obce,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-obvodu-ORP,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-okresu,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-regionu-soudržnosti,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-správního-obvodu-obce-s-pověřeným-obecním-úřadem,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-správního-obvodu-v-hlavním-městě-Praze,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-státu,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-vojenského-újezdu,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-vyššího-samosprávného-celku,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-údaje-základní-sídelní-jednotky,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/lokalizační-ůdaje-městského-obvodu-a-městské-části-územně-členěného-statutárního-města,111/2009/pojem/lokalizační-údaje,specializuje,2
111/2009/pojem/právnická-osoba,111/2009/pojem/osoba,specializuje,2
111/2009/pojem/účelový-územní-prvek,111/2009/pojem/územní-prvek,specializuje,2
128/2000/pojem/volič,128/2000/pojem/občan-obce,specializuje,2
247/1995/pojem/volební-účet,247/1995/pojem/bankovní-účet,specializuje,2
247/1995/pojem/neplatný-hlasovací-lístek-pro-volby-do-Poslanecké-sněmovny,247/1995/pojem/hlasovací-lístek-pro-volby-do-Poslanecké-sněmovny,specializuje,2
247/1995/pojem/platný-hlasovací-lístek-pro-volby-do-Poslanecké-sněmovny,247/1995/pojem/hlasovací-lístek-pro-volby-do-Poslanecké-sněmovny,specializuje,2
247/1995/pojem/neplatný-hlasovací-lístek-pro-volby-do-Senátu,247/1995/pojem/hlasovací-lístek-pro-volby-do-Senátu,specializuje,2
247/1995/pojem/platný-hlasovací-lístek-pro-volby-do-Senátu,247/1995/pojem/hlasovací-lístek-pro-volby-do-Senátu,specializuje,2
247/1995/pojem/nezávislý-kandidát-pro-volby-do-senátu,247/1995/pojem/kandidát-pro-volby-do-Senátu,specializuje,2
"247/1995/pojem/úřad-městské-části-nebo-městského-obvodu-v-Brně,-Ostravě-a-Plzni",247/1995/pojem/pověřený-obecní-úřad,specializuje,2
247/1995/pojem/zvláštní-seznam-pro-volby-do-Parlamentu-ČR,247/1995/pojem/stálý-seznam-pro-volby-do-Parlamentu-ČR,specializuje,2
247/1995/pojem/stálý-volební-okrsek-pro-volby-do-Parlamentu-ČR,247/1995/pojem/volební-okrsek-pro-volby-do-Parlamentu-ČR,specializuje,2
247/1995/pojem/zpracovaný-volební-okrsek-pro-volby-do-Parlamentu-ČR,247/1995/pojem/volební-okrsek-pro-volby-do-Parlamentu-ČR,specializuje,2
247/1995/pojem/zvláštní-volební-okrsek-pro-volby-do-Parlamentu-ČR,247/1995/pojem/volební-okrsek-pro-volby-do-Parlamentu-ČR,specializuje,2
247/1995/pojem/odevzdaná-obálka,247/1995/pojem/úřední-obálka,specializuje,2
247/1995/pojem/vydaná-obálka,247/1995/pojem/úřední-obálka,specializuje,2
424/1991/pojem/datum-narození-likvidátora,424/1991/pojem/datum-narození-fyzické-osoby,specializuje,2
424/1991/pojem/datum-narození-člena-statutárního-orgánu,424/1991/pojem/datum-narození-fyzické-osoby,specializuje,2
424/1991/pojem/jméno-insolvenčního-správce,424/1991/pojem/jméno-fyzické-osoby,specializuje,2
424/1991/pojem/jméno-likvidátora,424/1991/pojem/jméno-fyzické-osoby,specializuje,2
424/1991/pojem/jméno-člena-statutárního-orgánu,424/1991/pojem/jméno-fyzické-osoby,specializuje,2
424/1991/pojem/zvláštní-účet,424/1991/pojem/platební-účet-hnutí,specializuje,2
424/1991/pojem/zvláštní-účet,424/1991/pojem/platební-účet-politické-strany,specializuje,2
424/1991/pojem/zvláštní-účet,424/1991/pojem/platební-účet-politického-institutu,specializuje,2
424/1991/pojem/příjmení-insolvenčního-správce,424/1991/pojem/příjmení-fyzické-osoby,specializuje,2
424/1991/pojem/příjmení-likvidátora,424/1991/pojem/příjmení-fyzické-osoby,specializuje,2
424/1991/pojem/příjmení-člena-statutárního-orgánu,424/1991/pojem/příjmení-fyzické-osoby,specializuje,2
491/2001/pojem/adresa-místa-pobytu-kandidáta-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/adresa-místa-pobytu-fyzické-osoby,specializuje,2
491/2001/pojem/adresa-místa-pobytu-petenta,491/2001/pojem/adresa-místa-pobytu-fyzické-osoby,specializuje,2
"491/2001/pojem/datum,-místo-a-okres-či-stát-úmrtí-kandidáta-pro-volby-do-zastupitelstev-obcí",491/2001/pojem/datum,specializuje,2
"491/2001/pojem/datum,-místo-a-okres-či-stát-úmrtí-petenta",491/2001/pojem/datum,specializuje,2
491/2001/pojem/datum-narození-kandidáta-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/datum-narození-fyzické-osoby,specializuje,2
491/2001/pojem/datum-narození-petenta,491/2001/pojem/datum-narození-fyzické-osoby,specializuje,2
491/2001/pojem/jméno-kandidáta-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/jméno-fyzické-osoby,specializuje,2
491/2001/pojem/jméno-petenta,491/2001/pojem/jméno-fyzické-osoby,specializuje,2
491/2001/pojem/náhradník,491/2001/pojem/kandidát-pro-volby-do-zastupitelstva-obce,specializuje,2
491/2001/pojem/příjmení-kandidáta-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/příjmení-fyzické-osoby,specializuje,2
491/2001/pojem/příjmení-petenta,491/2001/pojem/příjmení-fyzické-osoby,specializuje,2
491/2001/pojem/dodatek-stálého-seznamu-voličů,491/2001/pojem/stálý-seznam-voličů,specializuje,2
491/2001/pojem/státní-občanství-kandidáta-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/státní-občanství-fyzické-osoby,specializuje,2
491/2001/pojem/státní-občanství-petenta,491/2001/pojem/státní-občanství-fyzické-osoby,specializuje,2
491/2001/pojem/koalice,491/2001/pojem/volební-strana,specializuje,2
491/2001/pojem/nezávislý-kandidát-pro-volby-do-zastupitelstev-obcí,491/2001/pojem/volební-strana,specializuje,2
491/2001/pojem/politická-strana,491/2001/pojem/volební-strana,specializuje,2
491/2001/pojem/politické-hnutí,491/2001/pojem/volební-strana,specializuje,2
