Source,Target,Kind,Weight
111/2009/pojem/Registr-obyvatel,111/2009/glosář,je součástí,0.5
111/2009/pojem/RÚIAN,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-doručování-písemností,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-mimo-území-ČR,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-místa-pobytu,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-místa-provozovny,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-místa-provozovny-(stavební-objekt),111/2009/glosář,je součástí,0.5
111/2009/pojem/adresa-sídla-osoby,111/2009/glosář,je součástí,0.5
111/2009/pojem/adresní-místo,111/2009/glosář,je součástí,0.5
111/2009/pojem/agendový-identifikátor-fyzické-osoby-pro-agendu-registru-osob,111/2009/glosář,je součástí,0.5
111/2009/pojem/bezpečností-osobní-kód-identifikačního-dokladu,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-narození-fyzické-osoby,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-ukončení-provozování-činnosti-v-provozovně,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-vzniku,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-vzniku/zápisu-do-evidence,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-zahájení-provozování-činnosti-v-provozovně,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-zániku/výmazu-z-evidence,111/2009/glosář,je součástí,0.5
111/2009/pojem/datum-úmrtí,111/2009/glosář,je součástí,0.5
111/2009/pojem/druh-identifikačního-dokladu,111/2009/glosář,je součástí,0.5
111/2009/pojem/fyzická-osoba,111/2009/glosář,je součástí,0.5
111/2009/pojem/identifikace-poštovní-přihrádky,111/2009/glosář,je součástí,0.5
111/2009/pojem/identifikační-číslo-osoby,111/2009/glosář,je součástí,0.5
111/2009/pojem/identifikační-číslo-provozovny,111/2009/glosář,je součástí,0.5
111/2009/pojem/identifikátor-datové-schránky,111/2009/glosář,je součástí,0.5
111/2009/pojem/identifikátor-fyzické-osoby,111/2009/glosář,je součástí,0.5
