Id,Label,Kind
111/2009/pojem/Registr-obyvatel,Registr obyvatel,typ objektu
111/2009/pojem/RÚIAN,RÚIAN,typ objektu
111/2009/pojem/adresa,adresa,typ objektu
111/2009/pojem/adresa-doručování-písemností,adresa doručování písemností,typ objektu
111/2009/pojem/adresa-mimo-území-ČR,adresa mimo území ČR,typ vlastnosti
111/2009/pojem/adresa-místa-pobytu,adresa místa pobytu,typ objektu
111/2009/pojem/adresa-místa-provozovny,adresa místa provozovny,typ vlastnosti
111/2009/pojem/adresa-místa-provozovny-(stavební-objekt),adresa místa provozovny (stavební objekt),typ objektu
111/2009/pojem/adresa-sídla-osoby,adresa sídla osoby,typ objektu
111/2009/pojem/adresní-místo,adresní místo,typ objektu
111/2009/pojem/agendový-identifikátor-fyzické-osoby-pro-agendu-registru-osob,agendový identifikátor fyzické osoby pro agendu registru osob,typ vlastnosti
111/2009/pojem/bezpečností-osobní-kód-identifikačního-dokladu,bezpečností osobní kód identifikačního dokladu,typ vlastnosti
111/2009/pojem/datum-narození-fyzické-osoby,datum narození fyzické osoby,typ vlastnosti
111/2009/pojem/datum-ukončení-provozování-činnosti-v-provozovně,datum ukončení provozování činnosti v provozovně,typ vlastnosti
111/2009/pojem/datum-vzniku,datum vzniku,typ vlastnosti
111/2009/pojem/datum-vzniku/zápisu-do-evidence,datum vzniku/zápisu do evidence,typ vlastnosti
111/2009/pojem/datum-zahájení-provozování-činnosti-v-provozovně,datum zahájení provozování činnosti v provozovně,typ vlastnosti
111/2009/pojem/datum-zániku/výmazu-z-evidence,datum zániku/výmazu z evidence,typ vlastnosti
111/2009/pojem/datum-úmrtí,datum úmrtí,typ vlastnosti
111/2009/pojem/druh-identifikačního-dokladu,druh identifikačního dokladu,typ vlastnosti
111/2009/pojem/fyzická-osoba,fyzická osoba,typ objektu
111/2009/pojem/identifikace-poštovní-přihrádky,identifikace poštovní přihrádky,typ vlastnosti
111/2009/pojem/identifikační-číslo-osoby,identifikační číslo osoby,typ vlastnosti
111/2009/pojem/identifikační-číslo-provozovny,identifikační číslo provozovny,typ vlastnosti
111/2009/pojem/identifikátor-datové-schránky,identifikátor datové schránky,typ vlastnosti
111/2009/pojem/identifikátor-fyzické-osoby,identifikátor fyzické osoby,typ vlastnosti
111/2009/pojem/insolvenční-správce,insolvenční správce,typ vlastnosti
111/2009/pojem/je-evidována,je evidována,typ vztahu
111/2009/pojem/je-nadřazeným/podřazeným-prvkem,je nadřazeným/podřazeným prvkem,typ vztahu
111/2009/pojem/je-zapsán-do,je zapsán do,typ vztahu
111/2009/pojem/jméno-a-příjmení,jméno a příjmení,typ vlastnosti
111/2009/pojem/jméno-fyzické-osoby,jméno fyzické osoby,typ vlastnosti
111/2009/pojem/kód-katastrálního-území,kód katastrálního území,typ vlastnosti
111/2009/pojem/kód-kraje,kód kraje,typ vlastnosti
111/2009/pojem/kód-městské-části-v-hlavním-městě-Praze,kód městské části v hlavním městě Praze,typ vlastnosti
111/2009/pojem/kód-městského-obvodu-a-městské-části-územně-členěného-statutárního-města,kód městského obvodu a městské části územně členěného statutárního města,typ vlastnosti
111/2009/pojem/kód-městského-obvodu-v-hlavním-městě-Praze,kód městského obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/kód-obce,kód obce,typ vlastnosti
111/2009/pojem/kód-okresu,kód okresu,typ vlastnosti
111/2009/pojem/kód-prvku,kód prvku,typ objektu
111/2009/pojem/kód-regionu-soudržnosti,kód regionu soudržnosti,typ vlastnosti
111/2009/pojem/kód-správního-obvodu-ORP,kód správního obvodu ORP,typ vlastnosti
111/2009/pojem/kód-správního-obvodu-obce-s-pověřeným-obecním-úřadem,kód správního obvodu obce s pověřeným obecním úřadem,typ vlastnosti
111/2009/pojem/kód-správního-obvodu-v-hlavním-městě-Praze,kód správního obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/kód-státu,kód státu,typ vlastnosti
111/2009/pojem/kód-ulice-nebo-jiné-veřejné-prostranství,kód ulice nebo jiné veřejné prostranství,typ vlastnosti
111/2009/pojem/kód-vojenského-újezdu,kód vojenského újezdu,typ vlastnosti
111/2009/pojem/kód-vyššího-samosprávného-celku,kód vyššího samosprávného celku,typ vlastnosti
111/2009/pojem/kód-základní-sídelní-jednotky,kód základní sídelní jednotky,typ vlastnosti
111/2009/pojem/kód-části-obce,kód části obce,typ vlastnosti
111/2009/pojem/likvidátor,likvidátor,typ vlastnosti
111/2009/pojem/lokalizační-údaje,lokalizační údaje,typ objektu
111/2009/pojem/lokalizační-údaje-katastrálního-území,lokalizační údaje katastrálního území,typ vlastnosti
111/2009/pojem/lokalizační-údaje-kraje,lokalizační údaje kraje,typ vlastnosti
111/2009/pojem/lokalizační-údaje-městské-části-v-hlavním-městě-Praze,lokalizační údaje městské části v hlavním městě Praze,typ vlastnosti
111/2009/pojem/lokalizační-údaje-městského-obvodu-v-hlavním-městě-Praze,lokalizační údaje městského obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/lokalizační-údaje-obce,lokalizační údaje obce,typ vlastnosti
111/2009/pojem/lokalizační-údaje-obvodu-ORP,lokalizační údaje obvodu ORP,typ vlastnosti
111/2009/pojem/lokalizační-údaje-okresu,lokalizační údaje okresu,typ vlastnosti
111/2009/pojem/lokalizační-údaje-regionu-soudržnosti,lokalizační údaje regionu soudržnosti,typ vlastnosti
111/2009/pojem/lokalizační-údaje-správního-obvodu-obce-s-pověřeným-obecním-úřadem,lokalizační údaje správního obvodu obce s pověřeným obecním úřadem,typ vlastnosti
111/2009/pojem/lokalizační-údaje-správního-obvodu-v-hlavním-městě-Praze,lokalizační údaje správního obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/lokalizační-údaje-státu,lokalizační údaje státu,typ vlastnosti
111/2009/pojem/lokalizační-údaje-vojenského-újezdu,lokalizační údaje vojenského újezdu,typ vlastnosti
111/2009/pojem/lokalizační-údaje-vyššího-samosprávného-celku,lokalizační údaje vyššího samosprávného celku,typ vlastnosti
111/2009/pojem/lokalizační-údaje-základní-sídelní-jednotky,lokalizační údaje základní sídelní jednotky,typ vlastnosti
111/2009/pojem/lokalizační-ůdaje-městského-obvodu-a-městské-části-územně-členěného-statutárního-města,lokalizační ůdaje městského obvodu a městské části územně členěného statutárního města,typ vlastnosti
111/2009/pojem/má-adresu,má adresu,typ vztahu
111/2009/pojem/má-adresu-doručování,má adresu doručování,typ vztahu
111/2009/pojem/má-adresu-místa-pobytu,má adresu místa pobytu,typ vztahu
111/2009/pojem/má-adresu-místa-provozovny,má adresu místa provozovny,typ vztahu
111/2009/pojem/má-adresu-sídla,má adresu sídla,typ vztahu
111/2009/pojem/má-jiný-vztah,má jiný vztah,typ vztahu
111/2009/pojem/má-místo-narození,má místo narození,typ vztahu
111/2009/pojem/má-místo-úmrtí,má místo úmrtí,typ vztahu
111/2009/pojem/má-okres-narození,má okres narození,typ vztahu
111/2009/pojem/má-okres-úmrtí,má okres úmrtí,typ vztahu
111/2009/pojem/místo-narození,místo narození,typ objektu
111/2009/pojem/místo-úmrtí,místo úmrtí,typ objektu
111/2009/pojem/místo-úmrtí-mimo-ČR,místo úmrtí mimo ČR,typ vlastnosti
111/2009/pojem/nucený-správce,nucený správce,typ vlastnosti
111/2009/pojem/název,název,typ vlastnosti
111/2009/pojem/název-katastrálního-území,název katastrálního území,typ vlastnosti
111/2009/pojem/název-kraje,název kraje,typ vlastnosti
111/2009/pojem/název-městské-části-v-hlavním-městě-Praze,název městské části v hlavním městě Praze,typ vlastnosti
111/2009/pojem/název-městského-obvodu-a-městské-části-územně-členěného-statutárního-města,název městského obvodu a městské části územně členěného statutárního města,typ vlastnosti
111/2009/pojem/název-městského-obvodu-v-hlavním-městě-Praze,název městského obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/název-obce,název obce,typ vlastnosti
111/2009/pojem/název-okresu,název okresu,typ vlastnosti
111/2009/pojem/název-regionu-soudržnosti,název regionu soudržnosti,typ vlastnosti
111/2009/pojem/název-správního-obvodu-ORP,název správního obvodu ORP,typ vlastnosti
111/2009/pojem/název-správního-obvodu-obce-s-pověřeným-obecním-úřadem,název správního obvodu obce s pověřeným obecním úřadem,typ vlastnosti
111/2009/pojem/název-správního-obvodu-v-hlavním-městě-Praze,název správního obvodu v hlavním městě Praze,typ vlastnosti
111/2009/pojem/název-státu,název státu,typ vlastnosti
111/2009/pojem/název-ulice-nebo-jiné-veřejné-prostranství,název ulice nebo jiné veřejné prostranství,typ vlastnosti
111/2009/pojem/název-vojenského-újezdu,název vojenského újezdu,typ vlastnosti
